# File: A_CCap_Sector.csv,,,
# Title: Mappings between CO2 market and sectors,,,
# Units: NA,,,
# Comments: only list supplysector; default is to include all technologies except biomass techs,,,
# Column types: cccc,,,
# ----------,,,
market,ghgpolicy,supplysector,tranSubsector
EU_ETS,CO2_ETS,other industrial energy use,
EU_ETS,CO2_ETS,other industrial feedstocks,
EU_ETS,CO2_ETS,cement,
EU_ETS,CO2_ETS,process heat cement,
EU_ETS,CO2_ETS,N fertilizer,
EU_ETS,CO2_ETS,chemical energy use,
EU_ETS,CO2_ETS,chemical feedstocks,
EU_ETS,CO2_ETS,alumina,
EU_ETS,CO2_ETS,mining energy use,
EU_ETS,CO2_ETS,iron and steel,
EU_ETS,CO2_ETS,refining,
EU_ETS,CO2_ETS,gas processing,
EU_ETS,CO2_ETS,district heat,
EU_ETS,CO2_ETS,trn_pass,Domestic Aviation
EU_ETS,CO2_ETS,backup_electricity,
EU_ETS,CO2_ETS,elec_coal (IGCC),
EU_ETS,CO2_ETS,elec_coal (conv pul),
EU_ETS,CO2_ETS,elec_refined liquids (CC),
EU_ETS,CO2_ETS,elec_refined liquids (steam/CT),
EU_ETS,CO2_ETS,elec_gas (CC),
EU_ETS,CO2_ETS,elec_gas (steam/CT),
Canada,CO2_building,resid heating,
Canada,CO2_building,resid others,
Canada,CO2_building,comm heating,
Canada,CO2_building,comm others,
South Korea,CO2_building,resid heating,
South Korea,CO2_building,resid others,
South Korea,CO2_building,comm heating,
South Korea,CO2_building,comm others,
China,CO2_industry,other industrial energy use,
China,CO2_industry,other industrial feedstocks,
China,CO2_industry,cement,
China,CO2_industry,process heat cement,
China,CO2_industry,N fertilizer,
China,CO2_industry,chemical energy use,
China,CO2_industry,chemical feedstocks,
China,CO2_industry,alumina,
China,CO2_industry,mining energy use,
China,CO2_industry,iron and steel,
Russia,CO2_4W,trn_pass_road_LDV_4W,Car
Russia,CO2_4W,trn_pass_road_LDV_4W,Large Car and Truck
