# File: A_FuelStandards_Market_CoefOverwrite.csv,,,,,,,,,,,,
# Title: Fuel Standard Policies Market Coefficients to Overwrite,,,,,,,,,,,,
# Comments: Sometimes the formula for coefficient improvement is not ambitious enough so we overwrite coefficients manually here,,,,,,,,,,,,
# Units: BTU/vkm,,,,,,,,,,,,
# Column types: cccccccccnnnn,,,,,,,,,,,,
# ----------,,,,,,,,,,,,
xml,policy_name,market,SSP_sce,region,supplysector,tranSubsector,stub.technology,Units,2020,2025,2030,2035
policy_fuelst_mkt_eu.xml,fuelst_mkt_eu_lighttruck,EU,CORE,EU-12,trn_freight_road,Light truck,Liquids,BTU/vkm,,2868.88,2696.7472,
policy_fuelst_mkt_eu.xml,fuelst_mkt_eu_lighttruck,EU,CORE,EU-12,trn_freight_road,Light truck,Hybrid Liquids,BTU/vkm,,2435.54,2289.4076,
policy_fuelst_mkt_eu.xml,fuelst_mkt_eu_lighttruck,EU,CORE,EU-15,trn_freight_road,Light truck,Liquids,BTU/vkm,,2867,2694.98,
policy_fuelst_mkt_eu.xml,fuelst_mkt_eu_lighttruck,EU,CORE,EU-15,trn_freight_road,Light truck,Hybrid Liquids,BTU/vkm,,2434.6,2288.524,
policy_fuelst_mkt_eu.xml,fuelst_mkt_eu_medtruck,EU,CORE,EU-12,trn_freight_road,Medium truck,Liquids,BTU/vkm,,4804.34,4516.0796,
policy_fuelst_mkt_eu.xml,fuelst_mkt_eu_medtruck,EU,CORE,EU-12,trn_freight_road,Medium truck,Hybrid Liquids,BTU/vkm,,3543.8,3331.172,
policy_fuelst_mkt_eu.xml,fuelst_mkt_eu_medtruck,EU,CORE,EU-15,trn_freight_road,Medium truck,Liquids,BTU/vkm,,4385.1,4121.994,
policy_fuelst_mkt_eu.xml,fuelst_mkt_eu_medtruck,EU,CORE,EU-15,trn_freight_road,Medium truck,Hybrid Liquids,BTU/vkm,,3234.54,3040.4676,
policy_fuelst_mkt_eu.xml,fuelst_mkt_eu_heavytruck,EU,CORE,EU-12,trn_freight_road,Heavy truck,Liquids,BTU/vkm,,10492.28,9862.7432,
policy_fuelst_mkt_eu.xml,fuelst_mkt_eu_heavytruck,EU,CORE,EU-12,trn_freight_road,Heavy truck,Hybrid Liquids,BTU/vkm,,9806.08,9217.7152,
policy_fuelst_mkt_eu.xml,fuelst_mkt_eu_heavytruck,EU,CORE,EU-15,trn_freight_road,Heavy truck,Liquids,BTU/vkm,,11243.34,10568.7396,
policy_fuelst_mkt_eu.xml,fuelst_mkt_eu_heavytruck,EU,CORE,EU-15,trn_freight_road,Heavy truck,Hybrid Liquids,BTU/vkm,,10507.32,9876.8808,
policy_fuelst_mkt_ind.xml,fuelst_mkt_eu_lighttruck,India,CORE,India,trn_freight_road,Light truck,Liquids,BTU/vkm,3397.1867,3227.327365,3065.960997,
policy_fuelst_mkt_ind.xml,fuelst_mkt_eu_lighttruck,India,CORE,India,trn_freight_road,Light truck,Hybrid Liquids,BTU/vkm,2842.92535,2700.779083,2565.740128,
policy_fuelst_mkt_ind.xml,fuelst_mkt_eu_medtruck,India,CORE,India,trn_freight_road,Medium truck,Liquids,BTU/vkm,6989.8036,6640.31342,6308.297749,
policy_fuelst_mkt_ind.xml,fuelst_mkt_eu_medtruck,India,CORE,India,trn_freight_road,Medium truck,Hybrid Liquids,BTU/vkm,5155.83145,4898.039878,4653.137884,
policy_fuelst_mkt_ind.xml,fuelst_mkt_eu_heavytruck,India,CORE,India,trn_freight_road,Heavy truck,Liquids,BTU/vkm,8991.87635,8542.282533,8115.168406,
policy_fuelst_mkt_ind.xml,fuelst_mkt_eu_heavytruck,India,CORE,India,trn_freight_road,Heavy truck,Hybrid Liquids,BTU/vkm,8403.62305,7983.441898,7584.269803,
