# File: A_MAC_rename.csv,,,,
# Title: Renaming of MAC curves,,,,
# Units: NA,,,,
# Column types: ccccc,,,,
# ----------,,,,
xml,region,supplysector,Non.CO2,new.market.name
US_livestock_CH4_MAC,USA,Beef,CH4_AGR,CH4_livestock
US_livestock_CH4_MAC,USA,Dairy,CH4_AGR,CH4_livestock
US_livestock_CH4_MAC,USA,Pork,CH4_AGR,CH4_livestock
US_livestock_CH4_MAC,USA,Poultry,CH4_AGR,CH4_livestock
US_livestock_CH4_MAC,USA,SheepGoat,CH4_AGR,CH4_livestock
US_resource_CH4_mac,USA,crude oil,CH4,CH4_resource
US_resource_CH4_mac,USA,natural gas,CH4,CH4_resource
kigali_fgas_MAC,ALL,comm cooling,HFC125,FGAS
kigali_fgas_MAC,ALL,comm cooling,HFC134a,FGAS
kigali_fgas_MAC,ALL,comm cooling,HFC143a,FGAS
kigali_fgas_MAC,ALL,comm cooling,HFC23,FGAS
kigali_fgas_MAC,ALL,comm cooling,HFC32,FGAS
kigali_fgas_MAC,ALL,electricity_net_ownuse,SF6,FGAS
kigali_fgas_MAC,ALL,industrial processes,C2F6,FGAS
kigali_fgas_MAC,ALL,industrial processes,CF4,FGAS
kigali_fgas_MAC,ALL,industrial processes,SF6,FGAS
kigali_fgas_MAC,ALL,industrial processes,HFC23,FGAS
kigali_fgas_MAC,ALL,industrial processes,HFC43,FGAS
kigali_fgas_MAC,ALL,industrial processes,HFC134a,FGAS
kigali_fgas_MAC,ALL,industrial processes,HFC245fa,FGAS
kigali_fgas_MAC,ALL,industrial processes,HFC365mfc,FGAS
kigali_fgas_MAC,ALL,resid cooling,HFC125,FGAS
kigali_fgas_MAC,ALL,resid cooling,HFC134a,FGAS
kigali_fgas_MAC,ALL,resid cooling,HFC143a,FGAS
kigali_fgas_MAC,ALL,resid cooling,HFC23,FGAS
kigali_fgas_MAC,ALL,resid cooling,HFC32,FGAS
kigali_fgas_MAC,ALL,urban processes,HFC134a,FGAS
kigali_fgas_MAC,ALL,urban processes,HFC152a,FGAS
kigali_fgas_MAC,ALL,urban processes,HFC227ea,FGAS
kigali_fgas_MAC,ALL,urban processes,HFC236fa,FGAS
